약수터명	소재지도로명주소	소재지지번주소	위도	경도	지정일자	일평균이용인구수	수질검사일자	수질검사결과구분	부적합항목	관리기관전화번호	관리기관명	데이터기준일자	제공기관코드	제공기관명		
부여군 고란약수		충청남도 부여군 부여읍 쌍북리 산4	36.292411	126.913209	1996-02-03	100	2018-06-28	적합		041-830-2665	충청남도 부여군 상하수도사업소	2018-07-19	4570000	충청남도 부여군		
부여군 태자수약수		충청남도 부여군 부여읍 쌍북리 산4	36.290075	126.914367	1996-02-03	60	2018-06-28	적합		041-830-2665	충청남도 부여군 상하수도사업소	2018-07-19	4570000	충청남도 부여군		
부여군 구정문약수		충청남도 부여군 부여읍 관북리 28-22	36.285917	126.912472	1996-02-03	150	2018-06-15	적합		041-830-2665	충청남도 부여군 상하수도사업소	2018-07-19	4570000	충청남도 부여군		
부여군 조왕사약수		충청남도 부여군 부여읍 가탑리 404-15	36.277593	126.921438	1996-02-03	30	2018-06-18	적합		041-830-2665	충청남도 부여군 상하수도사업소	2018-07-19	4570000	충청남도 부여군		
부여군 왕능우물		충청남도 부여군 부여읍 능산리 547	36.276476	126.946245	1996-02-03	100	2018-06-28	적합		041-830-2665	충청남도 부여군 상하수도사업소	2018-07-19	4570000	충청남도 부여군		
부여군 거무내정약수	충청남도 부여군 부여읍 성왕로352번길 11	충청남도 부여군 부여읍 쌍북리 727	36.282272	126.927879	2003-10-01	200	2018-06-28	적합		041-830-2665	충청남도 부여군 상하수도사업소	2018-07-19	4570000	충청남도 부여군		
부여군 등경수약수터		충청남도 부여군 세도면 동사리 산50-1	36.179515	126.920987	2006-12-14	100	2018-06-18	적합		041-830-2665	충청남도 부여군 상하수도사업소	2018-07-19	4570000	충청남도 부여군		
진동	전라북도 부안군 행안면 진동리 산 50-1	전라북도 부안군 행안면 진동리 산 50-1	35.70936057	126.7228157		0	2015-09-14	부적합	총대장균군, 분원성대장균군	063-580-3870	부안군청맑은물사업소	2018-08-16	4790000	전라북도 부안군		
월정	전라북도 부안군 상서면 감교리 산 145-1	전라북도 부안군 상서면 감교리 산 145-1	35.65919311	126.6527376		0	2015-09-14	부적합	총대장균군, 분원성대장균군	063-580-3870	부안군청맑은물사업소	2018-08-16	4790000	전라북도 부안군		
대룡샘	전라북도 부안군 위도면 대리 산 30-1	전라북도 부안군 위도면 대리 산 30-1	35.57821654	126.2624234		0	2015-09-14	부적합	총대장균군, 분원성대장균군, 일반세균	063-580-3870	부안군청맑은물사업소	2018-08-16	4790000	전라북도 부안군		
병풍바위		인천광역시 연수구 청학동 산51	37.422196	126.661581		50	2018-07-04	적합	없음	032-749-7941	인천광역시 연수구청	2018-08-17	3520000	인천광역시 연수구		
포망골		인천광역시 연수구 청학동 324-1	37.421469	126.664086		50	2018-07-04	적합	없음	032-749-7941	인천광역시 연수구청	2018-08-17	3520000	인천광역시 연수구		
호불사	인천광역시 연수구 청룡로 80	인천광역시 연수구 옥련동 산65-2	37.421571	126.658535		50	2018-07-04	적합	없음	032-749-7941	인천광역시 연수구청	2018-08-17	3520000	인천광역시 연수구		
